"","Model","M_re","est_M","conv","pdHess","runtime","NLL","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"1","m1","none",FALSE,TRUE,TRUE,1.63,-934.024,227.5,-1712,5.8569,0.9883,-0.4163
"2","m2","iid",FALSE,TRUE,TRUE,9.59,-1037.981,21.5,-1918,0.1171,0.1977,-0.1257
"3","m3","ar1_a",FALSE,TRUE,TRUE,2.65,-979.398,140.7,-1798.8,2.0562,0.0979,-0.082
"4","m4","ar1_y",FALSE,TRUE,TRUE,3.64,-988.29,122.9,-1816.6,1.1929,-0.1171,0.3044
"5","m5","2dar1",FALSE,TRUE,TRUE,10.45,-1042.965,15.6,-1923.9,-0.0662,0.0959,-0.0611
"6","m6","none",TRUE,TRUE,TRUE,1.53,-976.715,144.1,-1795.4,2.355,0.1465,-0.0936
"7","m7","iid",TRUE,TRUE,TRUE,9.2,-1045.295,8.9,-1930.6,-0.1302,-0.0336,0.0867
"8","m8","ar1_a",TRUE,TRUE,TRUE,2.63,-983.717,134.1,-1805.4,1.9773,0.1204,-0.0741
"9","m9","ar1_y",TRUE,TRUE,TRUE,3.87,-983.959,133.6,-1805.9,1.5533,-0.1007,0.2641
"10","m10","2dar1",TRUE,TRUE,TRUE,9.68,-1051.753,0,-1939.5,-0.3085,-0.1697,0.2692
