,Model,NAA_cor,NAA_sigma,GSI_mod,GSI_obserr,GSI_how,pdHess,runtime,NLL,dAIC,AIC
1,m1,iid,rec+1,rw,est,0,FALSE,0.42,-999.505,NA,NA
2,m2,ar1_a,rec+1,rw,est,0,FALSE,0.77,-1003.424,NA,NA
3,m3,ar1_y,rec+1,rw,est,0,FALSE,0.86,-1012.805,NA,NA
4,m4,2dar1,rec+1,rw,est,0,FALSE,0.83,-1008.186,NA,NA
5,m5,iid,rec+1,rw,est,1,TRUE,0.49,-990.489,25.1,-1811
6,m6,ar1_a,rec+1,rw,est,1,FALSE,0.51,-998.835,NA,NA
7,m7,ar1_y,rec+1,rw,est,1,TRUE,1.04,-1001.814,4.5,-1831.6
8,m8,2dar1,rec+1,rw,est,1,TRUE,1.22,-1005.027,0,-1836.1
9,m9,iid,rec+1,rw,est,2,TRUE,0.48,-990.489,25.1,-1811
10,m10,ar1_a,rec+1,rw,est,2,TRUE,0.5,-998.838,10.4,-1825.7
11,m11,ar1_y,rec+1,rw,est,2,TRUE,1.09,-1001.814,4.5,-1831.6
12,m12,2dar1,rec+1,rw,est,2,TRUE,1.22,-1005.027,0,-1836.1
13,m13,iid,rec+1,rw,est,4,FALSE,0.44,-1004.976,NA,NA
14,m14,ar1_a,rec+1,rw,est,4,FALSE,0.4,-1007.949,NA,NA
15,m15,ar1_y,rec+1,rw,est,4,FALSE,0.87,-1003.564,NA,NA
16,m16,2dar1,rec+1,rw,est,4,FALSE,0.95,-1013.138,NA,NA
17,m17,iid,rec+1,ar1,est,0,TRUE,0.41,-975.694,54.7,-1781.4
18,m18,ar1_a,rec+1,ar1,est,0,TRUE,0.89,-984.912,38.3,-1797.8
19,m19,ar1_y,rec+1,ar1,est,0,TRUE,0.96,-992.109,23.9,-1812.2
20,m20,2dar1,rec+1,ar1,est,0,TRUE,1.11,-995.72,18.7,-1817.4
21,m21,iid,rec+1,ar1,est,1,TRUE,0.49,-989.639,28.8,-1807.3
22,m22,ar1_a,rec+1,ar1,est,1,FALSE,0.52,-998.037,NA,NA
23,m23,ar1_y,rec+1,ar1,est,1,TRUE,1.14,-1001.014,8.1,-1828
24,m24,2dar1,rec+1,ar1,est,1,FALSE,1.13,-998.298,NA,NA
25,m25,iid,rec+1,ar1,est,2,TRUE,0.51,-989.644,28.8,-1807.3
26,m26,ar1_a,rec+1,ar1,est,2,TRUE,0.51,-998.037,14,-1822.1
27,m27,ar1_y,rec+1,ar1,est,2,TRUE,1.13,-1001.014,8.1,-1828
28,m28,2dar1,rec+1,ar1,est,2,TRUE,1.26,-1004.245,3.6,-1832.5
29,m29,iid,rec+1,ar1,est,4,TRUE,0.45,-980.537,47,-1789.1
30,m30,ar1_a,rec+1,ar1,est,4,TRUE,0.44,-987.652,34.8,-1801.3
31,m31,ar1_y,rec+1,ar1,est,4,TRUE,1,-994.115,21.9,-1814.2
32,m32,2dar1,rec+1,ar1,est,4,TRUE,1.15,-996.965,18.2,-1817.9
