"","Model","NAA_re","est_M","M_re","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid",FALSE,"none",TRUE,TRUE,1.03,-990.489,43.5,-1811
"2","m2","ar1_a",FALSE,"none",TRUE,TRUE,1.43,-998.838,28.8,-1825.7
"3","m3","ar1_y",FALSE,"none",TRUE,TRUE,2.29,-1001.814,22.9,-1831.6
"4","m4","2dar1",FALSE,"none",TRUE,TRUE,2.49,-1005.027,18.4,-1836.1
"5","m5","iid",FALSE,"iid",FALSE,FALSE,0.8,-993.638,NA,NA
"6","m6","ar1_a",FALSE,"iid",TRUE,TRUE,3.54,-1011.968,4.6,-1849.9
"7","m7","ar1_y",FALSE,"iid",FALSE,FALSE,1.05,-1013.841,NA,NA
"8","m8","2dar1",FALSE,"iid",FALSE,FALSE,3.53,6962.782,NA,NA
"9","m9","iid",FALSE,"ar1_a",TRUE,FALSE,0.99,-998.038,NA,NA
"10","m10","ar1_a",FALSE,"ar1_a",TRUE,FALSE,0.91,-501.48,NA,NA
"11","m11","ar1_y",FALSE,"ar1_a",TRUE,TRUE,3.68,-1005.414,19.7,-1834.8
"12","m12","2dar1",FALSE,"ar1_a",TRUE,TRUE,4.73,-1005.57,21.4,-1833.1
"13","m13","iid",FALSE,"ar1_y",TRUE,TRUE,2.64,-1003.941,20.6,-1833.9
"14","m14","ar1_a",FALSE,"ar1_y",TRUE,FALSE,0.82,-1006.106,NA,NA
"15","m15","ar1_y",FALSE,"ar1_y",TRUE,FALSE,0.9,-1001.814,NA,NA
"16","m16","2dar1",FALSE,"ar1_y",TRUE,TRUE,3.57,-1008.355,15.8,-1838.7
"17","m17","iid",FALSE,"2dar1",FALSE,TRUE,1.74,-1010.237,10,-1844.5
"18","m18","ar1_a",FALSE,"2dar1",TRUE,TRUE,3.93,-1011.482,9.5,-1845
"19","m19","ar1_y",FALSE,"2dar1",FALSE,FALSE,3.25,NA,NA,NA
"20","m20","2dar1",FALSE,"2dar1",FALSE,FALSE,3.62,10790.513,NA,NA
"21","m21","iid",TRUE,"none",TRUE,TRUE,0.85,-1001.583,23.3,-1831.2
"22","m22","ar1_a",TRUE,"none",TRUE,TRUE,1.42,-1006.055,16.4,-1838.1
"23","m23","ar1_y",TRUE,"none",TRUE,TRUE,2.35,-1006.972,14.6,-1839.9
"24","m24","2dar1",TRUE,"none",TRUE,TRUE,2.66,-1009.402,11.7,-1842.8
"25","m25","iid",TRUE,"iid",FALSE,FALSE,2.43,NA,NA,NA
"26","m26","ar1_a",TRUE,"iid",FALSE,FALSE,1.54,NA,NA,NA
"27","m27","ar1_y",TRUE,"iid",FALSE,FALSE,0.43,-1007.92,NA,NA
"28","m28","2dar1",TRUE,"iid",FALSE,FALSE,1.12,-1010.33,NA,NA
"29","m29","iid",TRUE,"ar1_a",TRUE,FALSE,1.06,-1004.637,NA,NA
"30","m30","ar1_a",TRUE,"ar1_a",TRUE,FALSE,1,-756.195,NA,NA
"31","m31","ar1_y",TRUE,"ar1_a",TRUE,FALSE,0.94,-1006.972,NA,NA
"32","m32","2dar1",TRUE,"ar1_a",TRUE,TRUE,4.2,-1010.982,12.5,-1842
"33","m33","iid",TRUE,"ar1_y",TRUE,TRUE,2.9,-1003.043,24.4,-1830.1
"34","m34","ar1_a",TRUE,"ar1_y",TRUE,TRUE,3.16,-1006.13,20.2,-1834.3
"35","m35","ar1_y",TRUE,"ar1_y",TRUE,TRUE,3.16,-1006.972,18.6,-1835.9
"36","m36","2dar1",TRUE,"ar1_y",TRUE,TRUE,3.65,-1009.402,15.7,-1838.8
"37","m37","iid",TRUE,"2dar1",TRUE,TRUE,4.13,-1016.261,0,-1854.5
"38","m38","ar1_a",TRUE,"2dar1",FALSE,FALSE,2.61,NA,NA,NA
"39","m39","ar1_y",TRUE,"2dar1",FALSE,FALSE,4,249.91,NA,NA
"40","m40","2dar1",TRUE,"2dar1",FALSE,FALSE,3.16,NA,NA,NA
